code,lat,lon
WHTMLDC,52.56457213260969,0.08787920299182542
EUST488,51.53398146476534,-0.14311427269699942
CRKLGBR,51.564050180937684,-0.22134471395680683
HITC941,51.97868792188808,-0.2711913103205195
HITC945,51.96817888794912,-0.25549529354410455
NNTN427,52.48727200730283,-1.4445283281049623
BARADPL,55.553456653801334,-4.653448945989144
LOWDHAM,53.006309765757315,-0.9983737021719463
PBRO468,52.569147368058665,-0.24618818890494873
HITCHUY,51.95481042983871,-0.2653863942933685
CLCHS16,51.89980328572807,0.9017278064575763
TAFFSWL,51.540708689623905,-3.2633101557957067
DNBGHSJ,52.009127535066426,-0.7432606359808023
WRTINGJ,51.25909621206036,-1.1423638556572375
WVRMHTJ,52.58924759298011,-2.1080197594183128
LEAGRVJ,51.9102615539781,-0.46654200908823606
KNTBRY,51.4036617404604,-1.461328664893993
TRNO,53.54541609430664,-1.3084153426055056
BCWD,51.70560582533043,-0.35910852465547993
BELFORD,55.59554247905407,-1.8012725043023943
WEST533,55.905014253142035,-4.335740469526974
LEAGRVE,51.90542778010301,-0.45856605680481494
TTNHMSJ,51.58187005645157,-0.05997246185760672
BATHSPA,51.37841747920366,-2.3728430403479326
MALTKKA,54.08225849528937,-0.8806738621723426
ABRGPGN,51.78458750094894,-2.97900768539383
FYHLAYC,54.5922983712279,-1.5599918710106109
GRNGMRR,56.005025394237464,-3.7477077730489565
CHSTRDT,53.19600644993852,-2.8776784104166278
NWMKET,52.238230324483006,0.40707338034457186
PERTHDL,56.3818836025144,-3.432154252803187
WLVR,52.06540035407926,-0.8043526193334936
CHSTRDD,53.19995406463096,-2.885992651282428
ALTNBRC,58.3882960707957,-3.7059452447734
BLTCCAM,52.00057061560524,-0.7300984956888246
JNCRMOS,53.6329279382731,-1.1109626900459881
HAYM527,55.94232141167955,-3.2345910934249607
MBRK758,50.911829792532444,-1.4456728009068127
BSTEFHH,52.25292931518524,0.7099882993512885
WCKHMMR,52.15105100154649,1.3987496617838053
CHFIELD,51.63115670613787,-2.4035915988482786
BNBRYRA,52.075652364171674,-1.3279025265764879
AYLESFD,51.301581874448466,0.4654962018725923
HDRSSDG,53.64927383837075,-1.784777045104637
CORBROC,52.4877489143889,-0.6887952171273718
EUSTBOR,51.53339003056227,-0.14267695205641837
TRENTJ,52.87647559671852,-1.2672594706005742
TRFDIFT,53.45769018987615,-2.3043268340270977
CARPSJN,51.53856901415749,-0.0078106364653551565
INGT679,51.66707324000811,0.3844364249851982
SXMNDHJ,52.21980740003248,1.4961301655497241
EXET335,50.728108535650705,-3.54361624929663
CHISWCK,51.48079820423979,-0.26757431902888706
FRNB100,51.29661587816666,-0.7585796395571753
SLNYBAL,53.15383728894608,-2.935632440663175
RAUCEBY,52.98506510856722,-0.45638764739852133
STRUD,51.744306284687234,-2.2188887107595803
CARL335,54.89364446565337,-2.9399808742391462
FALMTHD,50.15074623038259,-5.055848574244955
WANDCMN,51.44594750495524,-0.1632803067169118
HLYMTMD,53.66471174982015,-1.5824489659981213
TYWYN,52.585361228092054,-4.093401321554391
FALMTHT,50.148322080762604,-5.0648777288687885
SAXISTO,53.32301636205346,-0.7154608253353439
ELGINSB,57.64258934046382,-3.3186557926345674
LLDEGEN,51.67083140571986,-4.112550181600695
WLSDBLI,51.53295415440995,-0.25182575669354657
ALTHORN,51.64777605954659,0.752203179751577
WALASYV,53.42324191787914,-3.069196189732034
DARTFDS,51.447279011331574,0.22540321378064293
ORMSKRK,53.56963336674689,-2.8808229502890614
RAWCLIF,53.68891609160561,-0.9611236481327584
LEDB435,51.87150994830855,-0.666759829419959
LEDB433,51.88772463126034,-0.6726009992687743
HROW305,51.592010387060746,-0.33431733036505057
SHRWCSS,52.70855279889415,-2.7459289707181904
LCHT131,52.687794238599345,-1.8019556803614403
ROMILEY,53.413983194600625,-2.0892963393832202
HAVA501,50.85486997366481,-0.9872419429655436
HAVA503,50.85486997366481,-0.9872419429655436
WADHRST,51.07326205461016,0.3131208678404362
GRNGEWS,56.00748006669958,-3.744434330862236
BEGHWES,53.34285532139753,-1.3271365631638252
GAERJ,51.57843733575539,-3.006911242831386
JARRAFL,54.978908930362195,-1.4554694513927857
STOTNAS,51.582669577113194,-0.06373459031676046
KLYNNCS,52.75366814060101,0.40488493329850495
NMPTEMD,52.248827483050256,-0.9086450966514897
STLNWCS,50.8486512736292,0.521846197442947
NMPTEMA,58.25884443626708,-3.941066575820828
KGUSSIE,57.07783012432864,-4.053036373481074
DUNDCJC,56.454238111349994,-2.979324663444289
KILBLC,53.01301390539125,-1.4387285460607107
BROCKLY,51.46442231052434,-0.037546325603049845
LKWD,53.63479457604997,-1.8008055830510112
HMWTPHC,50.71029017066154,-1.9866489472245752
WCKWART,51.59419555986664,-2.4055446209928246
GUNTON,52.86629286490155,1.3493501530203877
BLKBELS,53.74529625735387,-2.478077093767851
KENNTGF,52.2739561649458,0.5178677199761017
THAL,55.76856147632538,-4.2511075951043775
THRNTNJ,56.169050535556934,-3.1282848722698757
BRFLD,52.392974421455214,-2.754541109181097
DLTNECX,54.43025984036631,-1.5122474652980062
SETTLE,54.06692112560413,-2.280897425727915
TODMRDN,53.713924032667784,-2.0995685157397954
ATTLBON,52.51366098401645,1.0210781312362123
LNDNBAL,51.503942770045796,-0.08417744765750661
IPSWLRD,52.05606386657632,1.1300454852051187
MNTFGBR,50.95224419535002,0.4667931967719192
CUPRCP7,56.31940609912546,-3.0039857403906116
CHNELUL,51.54205487638137,-0.012388608610628793
HONYBRN,52.10153534425185,-1.8334363687940516
PSEABKR,50.797453928166334,-1.083311483358524
GRNLUDS,56.24871164029057,-3.8770096151028297
ROMF440,51.572333386077,0.17272726248906647
SELSDN,51.35631073434381,-0.09249758943278705
SLSBRCL,51.07092926226022,-1.8093823924024182
FRTWBAF,56.8292951834182,-5.077938419242519
FRTWBAC,56.82927562721509,-5.078002395684807
ELGIN,57.64277807151085,-3.3108726177612264
TILHRST,51.471659211876286,-1.0297406718098645
DRTWCHS,52.26834512667499,-2.1583783071456786
FSHBORN,50.83909915403712,-0.8155374279941846
KNORTON,52.41408287431702,-1.9334728178226057
MDTTGBR,52.73379864838108,0.4703754309182628
HEXHFD,54.972578808079696,-2.0924024010232216
MORAR,56.96890295474963,-5.822097458640028
SPEANBD,56.88990104131976,-4.92138453300872
NMPT050,52.26065729714882,-0.9133071375367617
ALDRSHT,51.24633401876443,-0.7597044685348598
EXETRSD,50.72978225017009,-3.5435437455641647
SOTO930,50.90741074778913,-1.4208072245593202
LSTWTHL,50.407074005979545,-4.666086640286659
PWLHELS,52.88804218610658,-4.416114470764992
CRGD963,55.99447278680113,-4.71117299065073
CHVNNC,55.28088514669167,-1.654897509550137
PWLHELI,52.88819940220107,-4.415900233477388
TWOMBTM,52.44048843898022,0.730773903423814
EXETRST,50.71723228711331,-3.5391082258434725
MARCHDS,52.55878454202322,0.09534968746347113
MCKLFLD,53.78878565173898,-1.3259742414766043
NEWMLDN,51.40400472768004,-0.2555971520023649
LNGTSDG,54.98750869738276,-3.0321450535562637
PNTGBSC,51.67931845794924,-3.0178548868916133
MNCKCCC,53.61047461916397,-1.444775997759869
NWCSTLE,54.968228553564245,-1.6169534407815074
LNLTHCE,55.97722402385992,-3.5896015996758517
